tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
135,6/1/2013 7:54,6/1/2013 7:56,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,383,Greenwich Ave & Charles St,40.735238,-74.000271,15501,Subscriber,1980,1
224,6/1/2013 7:55,6/1/2013 7:59,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,18217,Subscriber,1981,2
173,6/1/2013 7:55,6/1/2013 7:58,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,17481,Subscriber,1983,1
1384,6/1/2013 7:55,6/1/2013 8:18,152,Warren St & Church St,40.71473993,-74.00910627,NULL,NULL,NULL,NULL,19315,Subscriber,1984,1
1391,6/1/2013 7:55,6/1/2013 8:18,495,W 47 St & 10 Ave,40.76269882,-73.99301222,497,E 17 St & Broadway,40.73704984,-73.99009296,16492,Subscriber,1970,1
358,6/1/2013 7:56,6/1/2013 8:02,325,E 19 St & 3 Ave,40.73624527,-73.98473765,497,E 17 St & Broadway,40.73704984,-73.99009296,16849,Subscriber,1964,2
2124,6/1/2013 7:56,6/1/2013 8:32,2004,6 Ave & Broome St,40.724399,-74.004704,524,W 43 St & 6 Ave,40.75527307,-73.98316936,20211,Subscriber,1971,1
10231,6/1/2013 7:57,6/1/2013 10:47,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,375,Mercer St & Bleecker St S,40.72679454,-73.99695094,18998,Subscriber,1974,1
1523,6/1/2013 7:57,6/1/2013 8:22,455,1 Ave & E 44 St,40.75001986,-73.96905301,497,E 17 St & Broadway,40.73704984,-73.99009296,15867,Subscriber,1955,1
563,6/1/2013 7:57,6/1/2013 8:07,530,11 Ave & W 59 St,40.771522,-73.990541,352,W 56 St & 6 Ave,40.76340613,-73.97722479,17979,Subscriber,1973,2
1117,6/1/2013 7:58,6/1/2013 8:16,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,217,Old Fulton St,40.70277159,-73.99383605,19382,Subscriber,1951,2
442,6/1/2013 7:58,6/1/2013 8:06,311,Norfolk St & Broome St,40.7172274,-73.98802084,332,Cherry St,40.71219906,-73.97948148,16326,Subscriber,1970,1
34966,6/1/2013 7:59,6/1/2013 17:42,465,Broadway & W 41 St,40.75513557,-73.98658032,NULL,NULL,NULL,NULL,15555,Subscriber,1982,2
496,6/1/2013 7:59,6/1/2013 8:08,445,E 10 St & Avenue A,40.72740794,-73.98142006,223,W 13 St & 7 Ave,40.73781509,-73.99994661,16605,Subscriber,1973,1
449,6/1/2013 8:00,6/1/2013 8:07,3002,South End Ave & Liberty St,40.711512,-74.015756,143,Clinton St & Joralemon St,40.69239502,-73.99337909,18817,Subscriber,1967,1
311,6/1/2013 8:00,6/1/2013 8:05,358,Christopher St & Greenwich St,40.73291553,-74.00711384,NULL,NULL,NULL,NULL,18257,Subscriber,1982,1
2605,6/1/2013 8:00,6/1/2013 8:44,468,Broadway & W 56 St,40.7652654,-73.98192338,376,John St & William St,40.70862144,-74.00722156,20315,Subscriber,1949,1
1051,6/1/2013 8:00,6/1/2013 8:18,280,E 10 St & 5 Ave,40.73331967,-73.99510132,459,W 20 St & 11 Ave,40.746745,-74.007756,15397,Subscriber,1984,2
705,6/1/2013 8:02,6/1/2013 8:13,472,E 32 St & Park Ave,40.7457121,-73.98194829,334,W 20 St & 7 Ave,40.74238787,-73.99726235,18158,Subscriber,1954,1
619,6/1/2013 8:02,6/1/2013 8:12,346,Bank St & Hudson St,40.73652889,-74.00618026,517,Pershing Square South,40.751581,-73.97791,19451,Subscriber,1981,1
613,6/1/2013 8:02,6/1/2013 8:12,346,Bank St & Hudson St,40.73652889,-74.00618026,253,W 13 St & 5 Ave,40.73543934,-73.99453948,18398,Subscriber,1980,2
1459,6/1/2013 8:03,6/1/2013 8:27,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,19896,Subscriber,1977,1
1339,6/1/2013 8:02,6/1/2013 8:25,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,276,Duane St & Greenwich St,40.71748752,-74.0104554,14974,Subscriber,1978,1
409,6/1/2013 8:03,6/1/2013 8:10,345,W 13 St & 6 Ave,40.73649403,-73.99704374,446,W 24 St & 7 Ave,40.74487634,-73.99529885,17928,Subscriber,1961,2
539,6/1/2013 8:03,6/1/2013 8:12,2004,6 Ave & Broome St,40.724399,-74.004704,401,Allen St & Rivington St,40.72019576,-73.98997825,14996,Subscriber,1984,1
760,6/1/2013 8:04,6/1/2013 8:16,2008,Little West St & 1 Pl,40.70569254,-74.01677685,290,2 Ave & E 58 St,40.76020258,-73.96478473,18812,Subscriber,1949,1
274,6/1/2013 8:04,6/1/2013 8:08,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,2004,6 Ave & Broome St,40.724399,-74.004704,19141,Subscriber,1986,1
433,6/1/2013 8:06,6/1/2013 8:13,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,19152,Subscriber,1974,1
446,6/1/2013 8:06,6/1/2013 8:13,512,W 29 St & 9 Ave,40.7500727,-73.99839279,459,W 20 St & 11 Ave,40.746745,-74.007756,18187,Subscriber,1956,1
14710,6/1/2013 8:08,6/1/2013 12:13,358,Christopher St & Greenwich St,40.73291553,-74.00711384,NULL,NULL,NULL,NULL,16781,Subscriber,1962,2
2473,6/1/2013 8:08,6/1/2013 8:50,295,Pike St & E Broadway,40.71406667,-73.99293911,521,8 Ave & W 31 St N,40.75096735,-73.99444208,15011,Customer,NULL,0
747,6/1/2013 8:08,6/1/2013 8:21,314,Cadman Plaza West & Montague St,40.69383,-73.990539,440,E 45 St & 3 Ave,40.75255434,-73.97282625,19953,Subscriber,1969,1
1061,6/1/2013 8:10,6/1/2013 8:27,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,260,Broad St & Bridge St,40.70365182,-74.01167797,15630,Subscriber,1974,1
265,6/1/2013 8:10,6/1/2013 8:14,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,18734,Subscriber,1989,1
